Feature,Importance
tenure,0.13270395859237966
Contract,0.1303436552895913
TotalCharges,0.10757418974478464
MonthlyCharges,0.10223894483014105
ChargesPerMonth,0.08991140526021052
OnlineSecurity,0.07676870984000167
TechSupport,0.06520872062622574
TenureGroup,0.051302639152779286
InternetService,0.045325719383727994
TotalServices,0.04153861174176597
PaymentMethod,0.030064954307548734
OnlineBackup,0.02173164857832573
PaperlessBilling,0.018613585967661994
DeviceProtection,0.01606768674136434
MultipleLines,0.013522383920642896
SeniorCitizen,0.010494358419250517
StreamingMovies,0.009545439966378085
StreamingTV,0.008884180778989417
Dependents,0.008478820282259016
gender,0.008150217746265445
Partner,0.007795165989166204
PhoneService,0.0037350028405396304
